>A
M
937.0;-454.0	412.0;-454.0
431.08;-121.32	443.68;-88.17
443.68;-88.17	449.0;-81.0
449.0;-81.0	475.21999999999997;-58.559999999999995
475.21999999999997;-58.559999999999995	508.28;-44.04
508.28;-44.04	548.18;-37.44
548.18;-37.44	563.0;-37.0
563.0;-37.0	616.0;-37.0
616.0;-37.0	616.0;-0.0
616.0;-0.0	35.0;-0.0
35.0;-0.0	35.0;-37.0
35.0;-37.0	86.0;-37.0
86.0;-37.0	133.19;-42.04
133.19;-42.04	171.56;-57.16
171.56;-57.16	201.10999999999999;-82.35999999999999
201.10999999999999;-82.35999999999999	209.0;-93.0
209.0;-93.0	219.70999999999998;-119.24999999999999
219.70999999999998;-119.24999999999999	226.64;-160.8
226.64;-160.8	229.79;-217.64999999999998
229.79;-217.64999999999998	230.0;-240.0
230.0;-240.0	230.0;-1116.0
230.0;-1116.0	227.48;-1184.07
227.48;-1184.07	219.92;-1234.68
219.92;-1234.68	207.32;-1267.83
207.32;-1267.83	202.0;-1275.0
202.0;-1275.0	175.18;-1297.44
175.18;-1297.44	141.52;-1311.96
141.52;-1311.96	101.02000000000001;-1318.5600000000002
101.02000000000001;-1318.5600000000002	86.0;-1319.0
86.0;-1319.0	35.0;-1319.0
35.0;-1319.0	35.0;-1356.0
35.0;-1356.0	529.0;-1356.0
529.0;-1356.0	648.3849999999999;-1353.165
648.3849999999999;-1353.165	747.3399999999999;-1344.66
747.3399999999999;-1344.66	825.865;-1330.4850000000001
825.865;-1330.4850000000001	847.5;-1324.5
847.5;-1324.5	906.2099999999998;-1300.83
906.2099999999998;-1300.83	959.34;-1267.6200000000001
959.34;-1267.6200000000001	1006.89;-1224.87
1006.89;-1224.87	1021.5;-1208.5
1021.5;-1208.5	1057.965;-1154.875
1057.965;-1154.875	1081.56;-1095.4
1081.56;-1095.4	1092.2849999999999;-1030.075
1092.2849999999999;-1030.075	1093.0;-1007.0
1093.0;-1007.0	1085.665;-934.9699999999999
1085.665;-934.9699999999999	1063.6599999999999;-868.88
1063.6599999999999;-868.88	1026.985;-808.73
1026.985;-808.73	1011.5;-790.0
1011.5;-790.0	954.5449999999998;-739.66
954.5449999999998;-739.66	881.48;-699.04
881.48;-699.04	792.305;-668.14
792.305;-668.14	759.0;-660.0
759.0;-660.0	1039.0;-271.0
1039.0;-271.0	1094.1699999999998;-198.7
1094.1699999999998;-198.7	1144.48;-142.6
1144.48;-142.6	1189.9299999999998;-102.7
1189.9299999999998;-102.7	1204.0;-93.0
1204.0;-93.0	1249.1799999999998;-69.47999999999999
1249.1799999999998;-69.47999999999999	1301.92;-51.720000000000006
1301.92;-51.720000000000006	1362.2199999999998;-39.72
1362.2199999999998;-39.72	1384.0;-37.0
1384.0;-37.0	1384.0;-0.0
1384.0;-0.0	1384.0;-0.0
Z
M
421.0;-697.0	431.94999999999993;-696.9549999999999
431.94999999999993;-696.9549999999999	442.0;-696.82
442.0;-696.82	451.15;-696.5949999999999
451.15;-696.5949999999999	454.0;-696.5
454.0;-696.5	461.95;-696.245
461.95;-696.245	469.0;-696.0799999999999
469.0;-696.0799999999999	475.15000000000003;-696.005
475.15000000000003;-696.005	477.0;-696.0
477.0;-696.0	584.805;-703.56
584.805;-703.56	675.42;-726.24
675.42;-726.24	748.8449999999999;-764.04
748.8449999999999;-764.04	769.5;-780.0
769.5;-780.0	819.735;-834.54
819.735;-834.54	852.24;-897.3599999999999
852.24;-897.3599999999999	867.015;-968.46
867.015;-968.46	868.0;-994.0
868.0;-994.0	860.8449999999999;-1065.925
860.8449999999999;-1065.925	839.38;-1129.3
839.38;-1129.3	803.605;-1184.125
803.605;-1184.125	788.5;-1200.5
788.5;-1200.5	736.165;-1241.0449999999998
736.165;-1241.0449999999998	674.56;-1267.28
674.56;-1267.28	603.685;-1279.205
603.685;-1279.205	578.0;-1280.0
578.0;-1280.0	539.51;-1278.29
539.51;-1278.29	493.64000000000004;-1273.16
493.64000000000004;-1273.16	440.39;-1264.61
440.39;-1264.61	421.0;-1261.0
421.0;-1261.0	421.0;-697.0
421.0;-697.0	421.0;-697.0
Z
>T
M
1185.0;-1356.0	1200.0;-1038.0
1200.0;-1038.0	1162.0;-1038.0
1162.0;-1038.0	1154.6799999999998;-1084.08
1154.6799999999998;-1084.08	1145.92;-1121.52
1145.92;-1121.52	1135.72;-1150.32
1135.72;-1150.32	1132.0;-1158.0
1132.0;-1158.0	1111.5549999999998;-1190.0549999999998
1111.5549999999998;-1190.0549999999998	1087.42;-1216.62
1087.42;-1216.62	1059.595;-1237.695
1059.595;-1237.695	1049.5;-1243.5
1049.5;-1243.5	1015.6749999999998;-1257.5249999999999
1015.6749999999998;-1257.5249999999999	976.0;-1266.6
976.0;-1266.6	930.4749999999999;-1270.725
930.4749999999999;-1270.725	914.0;-1271.0
914.0;-1271.0	723.0;-1271.0
723.0;-1271.0	723.0;-235.0
723.0;-235.0	725.43;-168.45999999999998
725.43;-168.45999999999998	732.72;-118.84
732.72;-118.84	744.87;-86.14000000000001
744.87;-86.14000000000001	750.0;-79.0
750.0;-79.0	776.4899999999999;-57.57999999999999
776.4899999999999;-57.57999999999999	810.36;-43.72
810.36;-43.72	851.61;-37.42
851.61;-37.42	867.0;-37.0
867.0;-37.0	914.0;-37.0
914.0;-37.0	914.0;-0.0
914.0;-0.0	339.0;-0.0
339.0;-0.0	339.0;-37.0
339.0;-37.0	387.0;-37.0
387.0;-37.0	434.09999999999997;-41.68
434.09999999999997;-41.68	472.19999999999993;-55.72
472.19999999999993;-55.72	501.29999999999995;-79.11999999999999
501.29999999999995;-79.11999999999999	509.0;-89.0
509.0;-89.0	520.2199999999999;-115.57999999999998
520.2199999999999;-115.57999999999998	527.48;-156.92
527.48;-156.92	530.78;-213.01999999999998
530.78;-213.01999999999998	531.0;-235.0
531.0;-235.0	531.0;-1271.0
531.0;-1271.0	368.0;-1271.0
368.0;-1271.0	315.94999999999993;-1269.7399999999998
315.94999999999993;-1269.7399999999998	273.8;-1265.96
273.8;-1265.96	241.55;-1259.6599999999999
241.55;-1259.6599999999999	233.0;-1257.0
233.0;-1257.0	203.15;-1242.4499999999998
203.15;-1242.4499999999998	176.0;-1221.6
176.0;-1221.6	151.55;-1194.45
151.55;-1194.45	144.0;-1184.0
144.0;-1184.0	124.49999999999999;-1148.18
124.49999999999999;-1148.18	110.4;-1105.52
110.4;-1105.52	101.7;-1056.02
101.7;-1056.02	100.0;-1038.0
100.0;-1038.0	62.0;-1038.0
62.0;-1038.0	78.0;-1356.0
78.0;-1356.0	1185.0;-1356.0
1185.0;-1356.0	1185.0;-1356.0
Z
>a
M
583.0;-132.0	507.84999999999997;-74.88
507.84999999999997;-74.88	451.6;-34.32000000000001
451.6;-34.32000000000001	414.25;-10.320000000000004
414.25;-10.320000000000004	406.0;-6.0
406.0;-6.0	372.96999999999997;6.75
372.96999999999997;6.75	338.67999999999995;14.999999999999998
338.67999999999995;14.999999999999998	303.13;18.75
303.13;18.75	291.0;19.0
291.0;19.0	237.01499999999996;13.149999999999999
237.01499999999996;13.149999999999999	189.06;-4.399999999999999
189.06;-4.399999999999999	147.135;-33.64999999999999
147.135;-33.64999999999999	134.5;-46.0
134.5;-46.0	103.13499999999998;-88.69
103.13499999999998;-88.69	82.84;-138.76
82.84;-138.76	73.615;-196.20999999999998
73.615;-196.20999999999998	73.0;-217.0
73.0;-217.0	75.69999999999999;-255.57999999999998
75.69999999999999;-255.57999999999998	83.8;-290.91999999999996
83.8;-290.91999999999996	97.29999999999998;-323.02
97.29999999999998;-323.02	103.0;-333.0
103.0;-333.0	133.045;-373.08
133.045;-373.08	173.98000000000002;-411.72
173.98000000000002;-411.72	225.80499999999998;-448.91999999999996
225.80499999999998;-448.91999999999996	245.5;-461.0
245.5;-461.0	318.505;-499.3399999999999
318.505;-499.3399999999999	415.72;-542.36
415.72;-542.36	537.145;-590.06
537.145;-590.06	583.0;-607.0
583.0;-607.0	583.0;-643.0
583.0;-643.0	579.0849999999999;-717.4599999999998
579.0849999999999;-717.4599999999998	567.34;-776.4399999999999
567.34;-776.4399999999999	547.765;-819.94
547.765;-819.94	539.5;-831.0
539.5;-831.0	509.84499999999997;-857.0099999999999
509.84499999999997;-857.0099999999999	473.08;-873.8399999999999
473.08;-873.8399999999999	429.205;-881.49
429.205;-881.49	413.0;-882.0
413.0;-882.0	377.54;-878.9399999999998
377.54;-878.9399999999998	346.76;-869.76
346.76;-869.76	320.65999999999997;-854.46
320.65999999999997;-854.46	313.0;-848.0
313.0;-848.0	293.62;-826.6999999999998
293.62;-826.6999999999998	281.08000000000004;-803.5999999999999
281.08000000000004;-803.5999999999999	275.38;-778.6999999999999
275.38;-778.6999999999999	275.0;-770.0
275.0;-770.0	277.0;-712.0
